source,titre,prix,type_annonce,ville,quartier,nb_chambres,nb_sdb,surface_m2,date_publication,date_scraping,url,image_url
mauri-home.com,Duplex meublé neuf,45000 MRU,Location,Nouakchott,Ilot F Nord,2,3,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F11%2FC02270A6-893E-4D7F-B51C-1502AC4B1D62.png&w=500&q=85&output=webp
mauri-home.com,Appartement résidentiel,20000 MRU,Location,Nouakchott,Ilot F Nord,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F2-1.jpg&w=500&q=85&output=webp
mauri-home.com,Duplex meublé,45000 MRU,Location,Nouakchott,Ilot F Nord,2,3,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F12%2F77D4D9F0-7953-4741-B9BD-862BB730FFA6.jpeg&w=500&q=85&output=webp
mauri-home.com,Maison zone des Ambassades,40000 MRU,Location,Nouakchott,Ilot F Nord,3,4,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F12%2FIMG_6830.jpg&w=500&q=85&output=webp
mauri-home.com,Villa neuve avec piscine,150000 MRU,Location,Nouakchott,Ilot F Nord,4,4,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F11%2FE72AFC4E-A65A-48BF-A8CA-D9FD5CA8569A.jpeg&w=500&q=85&output=webp
mauri-home.com,Chambre à loué dans un appartement vers hotel EMIRA,3000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68b1bc99ed4b0_main.PNG&w=500&q=85&output=webp
mauri-home.com,فرصة ديبلكس للأجار قرب مصحة بن سينا,25000 MRU,Location,Nouakchott,Tevragh Zeina,7,4,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1769880765462_1000405566.jpg&w=500&q=85&output=webp
mauri-home.com,شقق سكنية للأجار,38000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1769781679019_IMG_3900.jpeg&w=500&q=85&output=webp
mauri-home.com,STUDIO A LOUER,8000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F689caaa09998f_main.jpeg&w=500&q=85&output=webp
mauri-home.com,أبرتماه للإيجار في الصكوك أجديد مافات أندخل,12000 MRU,Location,Nouakchott,Tevragh Zeina,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1769856377507_1000406062.jpg&w=500&q=85&output=webp
